date,total_views,unique_views
2022-08-12,1,1
2022-08-13,0,0
2022-08-14,0,0
2022-08-15,3,2
2022-08-16,1,1
2022-08-17,1,1
2022-08-18,2,2
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,1,1
2022-08-23,5,2
2022-08-24,1,1
2022-08-25,44,5
2022-08-26,2,1
2022-08-27,8,2
2022-08-28,1,1
2022-08-29,30,3
2022-08-30,11,3
2022-08-31,7,3
2022-09-01,16,6
2022-09-02,11,6
2022-09-03,2,1
2022-09-04,4,1
2022-09-05,8,2
2022-09-06,39,8
2022-09-07,25,6
2022-09-08,83,11
2022-09-09,38,12
2022-09-10,16,3
2022-09-11,10,2
2022-09-12,2,2
2022-09-13,2,2
2022-09-14,5,2
2022-09-15,3,2
2022-09-16,8,3
2022-09-17,1,1
2022-09-18,12,3
2022-09-19,11,4
2022-09-20,46,7
2022-09-21,17,5
2022-09-22,56,11
2022-09-23,124,21
2022-09-24,27,5
2022-09-25,4,1
2022-09-26,7,2
2022-09-27,5,3
2022-09-28,6,2
2022-09-29,7,2
2022-09-30,6,3
2022-10-01,0,0
2022-10-02,19,2
2022-10-03,7,2
2022-10-04,0,0
2022-10-05,0,0
